,Bus,Ferry,Other,Rail
4/2020,115107747.0,942440.0,2834182.0,40271949.0
5/2020,136106331.0,1632821.0,3101289.0,47538411.0
6/2020,166851354.0,2406007.0,5634564.0,69311639.0
7/2020,189887101.0,3271463.0,7933720.0,91843100.0
8/2020,193666760.0,3543458.0,8374081.0,99296058.0
9/2020,189301945.0,3188772.0,9435384.0,115306815.0
10/2020,196834181.0,2946189.0,10024436.0,127625540.0
11/2020,176528690.0,2372445.0,9049102.0,109378569.0
12/2020,174774622.0,2272197.0,8432154.0,110366424.0
1/2021,166679077.0,2131740.0,7882298.0,105982029.0
2/2021,157349714.0,1905211.0,7053020.0,99410980.0
3/2021,197685565.0,2769267.0,9572962.0,128320731.0
4/2021,198494227.0,3194855.0,9823495.0,130849629.0
5/2021,201087113.0,3855676.0,11851814.0,147287563.0
6/2021,208761715.0,4584760.0,15167778.0,171240994.0
7/2021,217022118.0,5727220.0,16573593.0,175743328.0
8/2021,226422010.0,5322011.0,16516992.0,172111843.0
9/2021,246785903.0,4484858.0,18229332.0,186273220.0
10/2021,256531271.0,4110220.0,20031585.0,211993988.0
11/2021,241983336.0,3687537.0,19669216.0,195796120.0
12/2021,229250844.0,3529343.0,17986882.0,191761918.0
1/2022,206180985.0,2594666.0,17034060.0,158828167.0
2/2022,218006995.0,3012337.0,18185645.0,180190379.0
3/2022,261487828.0,3921189.0,23047176.0,216319563.0
4/2022,253521755.0,4536343.0,22528796.0,218376233.0
5/2022,259253079.0,4957054.0,23277155.0,221870446.0
6/2022,254529929.0,5660429.0,24983383.0,229596475.0
7/2022,248108265.0,6579653.0,23789087.0,215814146.0
8/2022,274834088.0,6466022.0,25440609.0,224029115.0
9/2022,286357470.0,5550782.0,25496654.0,241629351.0
10/2022,291702099.0,5032064.0,26246083.0,253595264.0
11/2022,270299442.0,4254816.0,25323237.0,242502070.0
12/2022,254541214.0,3961270.0,24995888.0,232042206.0
1/2023,273735602.0,3792627.0,24045769.0,223557798.0
2/2023,264271586.0,3619636.0,22013516.0,220207024.0
3/2023,303860340.0,4392691.0,26038426.0,259327660.0
4/2023,287533147.0,5046555.0,24629037.0,241609462.0
5/2023,308817882.0,5835323.0,27118488.0,268905320.0
6/2023,288598583.0,5989466.0,27121589.0,253295100.0
7/2023,279033613.0,7102340.0,26317932.0,233518466.0
8/2023,307174304.0,7028858.0,27896289.0,253208971.0
9/2023,314944088.0,5692589.0,26677491.0,266372599.0
